TASK / LOCATION,Company,Part Number,Job Number,Sand Mold Size Cope/Cheek Top Down/Drag,Material,POUR WEIGHT,Owner,Quantity Needed,Molds Needed,Certs,CORES ORDERED,Promised Date,Heat treat,Notes,"Inform Melt of Large Mold ""Y""",Molds split off,Days on Pour List,,,,,,,,,,,,54,133
Waiting on Doug,Southern Cast,Vertical Saw Stationary - Check with Jeff W,,Printed Mold,WCB,93,MM,1,1,No,7/9/2024,7/26/2024,,"Hot top, Build Wall",,,,,,,,,,,,,,,,
Waiting On Customer,Mark Andy,403811-017R - ROBOCAST,35074,"Customer to take stock up to 1/4""",ASTM A48 Cl 30A G.I,,,2,,Yes,,11/22/2025,,,,,,,,,,,,,,,,,,
Waiting On Customer,Flowserve,F002620319- ROBOCAST-66847830,35107,Sent question to customer 11/7/25,ASTM A278 Cl 30 G.I,,,1,,Yes,,12/5/2025,,,,,,,,,,,,,,,,,,
Waiting On Customer,Flowserve,F002613288 - ROBOCAST-66847831,35108,Sent question to customer 11/7/25,ASTM A278 Cl 30 G.I,,,1,,Yes,,12/5/2025,,,,,,,,,,,,,,,,,,
Waiting On Customer,RPM,54704-01-UNN-ROBOCAST- RPM1766,35191,ZH customer confirming model,WCB,,,1,,Yes,,1/7/2026,Normalized,,,,,,,,,,,,,,,,,
Waiting On Customer,ERL,239AB335C-SS- ROBOCAST-3D MOLD,35229,Offloaded needs model prep - Needs machine print,ASTM A351 CF8M,,,3,,Yes,,1/12/2026,Austenitize and Quench,,,,,,,,,,,,,,,,,
Waiting On Customer,ERL,238AB116C-2- ROBOCAST-3D MOLD,35230,Offloaded needs model prep - Needs machine print,ASTM A351 CF8M,,,1,,Yes,,1/12/2026,Austenitize and Quench,,,,,,,,,,,,,,,,,
Waiting On Customer,WMC,168D807 UH- ROBOCAST,35233,Stock Questions Sent to Customer - TK,DE12-0113J (ASTM A216 WCB),,,1,,Yes,,1/16/2026,Normalized and Tempered,,,,,,,,,,,,,,,,,
Waiting On Customer,WMC,168D807 LH - ROBOCAST ,35232,Stock Questions Sent to Customer - TK,DE12-0113J (ASTM A216 WCB),,,1,,Yes,,1/16/2026,Normalized and Tempered,,,,,,,,,,,,,,,,,
Waiting On Customer,Siemens,21296-902 - ROBOCAST,35222,Stock Questions Sent - 12/5/25 - TK,CM-8631 (WCB),,,1,,Yes,,1/19/2026,Normalized,,,,,,,,,,,,,,,,,
